geoid,households,rental_vacancy_rate,percent_recent_construction,percent_prewar_construction,avg_renter_household_size,percent_3_plus_vehicles,percent_solar_heat,percent_mortgage_free,percent_no_high_school,percent_veterans,percent_recent_move_from_other_state,percent_foreign_born_recent_arrival,percent_adults_with_disability
06007,85318,5.6,0.1,7.4,2.63,21.7,0.2,37.5,4.5,9.1,1.2,7.8,14.5
06009,18060,12,0.1,4.6,2.56,31.7,0.1,35.2,3,13.1,1.1,9,16.5
06011,6966,4.4,0,13.4,3.29,31.8,0.6,38.4,20.7,6.8,0.9,3.5,11.5
06013,384646,3.5,0.1,4.5,2.83,25.9,0.3,24.7,5.8,6.4,1.2,7.4,8.5
06015,9420,2.8,0,6.3,2.69,19.5,0,43.5,6.8,10.5,2.4,1,21.9
06017,67086,8.2,0.1,2.9,2.74,30.8,0.5,28,2.8,10.7,1.2,5.9,10
06019,296305,5.2,0.2,6,3.27,20.2,0.3,28.3,15.5,5.9,0.6,5.2,11.3
06021,9497,3.1,0,10.2,2.77,26.8,0.3,37.5,12.5,6.9,0.4,1.7,14.6
06023,53036,4.2,0,15.3,2.47,20,0.2,40.1,3,8.4,2.1,6.2,15.2
06025,46452,4,0.1,3.2,3.6,22.9,0.1,32.4,20,4.8,1,6.9,10.9
06027,7957,2.1,0,7.6,2.15,23.9,0.3,52.2,5.4,10.7,1.8,5.4,9.2
06029,259700,5.6,0.1,4.5,3.3,23.2,0.2,28.9,14.3,6.7,1,5.6,10.6
06031,41554,4.2,0.2,7.1,3.2,23.2,0.5,28.7,13.5,10.4,2.1,4,10.6
06033,26993,6.2,0,4.9,2.49,23.3,0.3,45.4,5.6,11.9,1.5,2.9,19.2
06035,9707,8.3,0,11.4,2.25,27.5,0.5,38.7,4.8,10.2,1.7,4.2,16.9
06037,3263069,3.7,0,15.1,2.87,20.1,0.1,25.6,13.3,4,1,5.7,7.2
06039,43159,4.6,0,3.9,3.69,26.6,0.1,33.4,17.8,7.8,0.6,4.5,11.9
06041,103670,2.7,0,12.4,2.35,19.8,0.4,28.1,3.8,6.9,1.6,7.8,6.2
06043,7345,12.8,0.1,8.9,2.47,28.2,0.2,44.1,2.3,12.9,1.5,6.1,13.7
06045,34017,3.4,0.1,11,2.59,22.6,0.2,45.5,6.1,10.1,2,4.8,14.6
06047,77692,4.6,0,5.1,3.47,25.1,0.2,29.3,20.4,5.8,0.6,3.7,15.1
06049,3745,2.5,0,22.5,2.22,29.6,0,50.2,4.1,12.1,4.9,5.8,19.4
06051,4906,36.5,0,4.3,3.6,22.4,0.2,39.5,9.2,8.8,1.3,12.3,3.8
06053,125402,4.2,0.1,8,3.43,25.3,0.2,30.8,19.3,6.3,2.2,5.2,6.8
06055,49494,5.6,0.1,8.2,2.9,26.5,0.5,30.7,10.4,8,1.1,4.4,7.9
06057,40993,3.7,0.1,6.7,2.38,28.7,0.4,34.8,2,11.8,1.7,5.6,11.1
06059,1009353,3.5,0.1,2.5,3.09,25,0.1,26.3,8.8,5.1,1.1,6.3,5.8
06061,135456,5.6,0.2,3.6,2.6,25.6,0.4,26.2,2.3,10.1,1.4,6.7,7.8
06063,8217,11.8,0,9.1,2.67,24.7,0,36.8,3.1,14.2,1.7,4.5,19.7
06065,699232,6.4,0.1,2.1,3.31,26,0.2,27,9.6,7.7,1.2,5,9.3
06067,522596,5.6,0.1,4.8,2.73,20,0.1,25.3,6.7,8.1,1.2,7.6,10.8
06069,17198,1.8,0,9.6,3.61,38.8,0.4,22.9,13.7,6,0.5,3.2,6.4
06071,614325,5.8,0.1,3.8,3.32,27,0.1,25.1,9.8,6.6,1.3,4.4,9.5
06073,1094157,4.1,0.1,4.4,2.85,22.3,0.3,26.1,7.2,9.7,2.2,8.7,7.1
06075,353287,2.6,0.1,48.2,2.1,7.2,0.2,30.4,8.1,3.6,2.4,10,6.8
06077,219073,5.4,0.1,7.2,3.23,26.1,0.3,27,11.7,6.4,1,6.1,10.6
06079,103576,2.7,0.1,5.1,2.55,25.4,0.4,32.4,4.5,8.5,1.7,7,7.5
06081,259711,2.5,0.1,8.5,2.78,24.3,0.2,27.3,6.6,4.9,1.2,8.4,5.4
06083,142713,3.2,0,7.9,3.08,24.2,0.2,31.7,12.5,7.2,1.9,8.3,7
06085,621463,2.7,0.2,4.9,2.86,25.3,0.2,26.9,7.1,4.3,1.6,11.4,5.2
06087,94802,2,0,12.1,2.82,26.8,0.3,30.2,9,5.5,1,6.4,7.4
06089,69375,4.3,0,3.1,2.59,23.2,0.1,37.3,2.7,12.1,2.4,13.4,16.1
06091,1252,0,0,24.4,2.41,20.7,0,56.2,2.4,17.6,2.1,0,18.9
06093,19133,3.9,0,15.1,2.37,26.5,0.3,48.4,3.7,12.9,1.9,3.4,18.8
06095,143612,5.6,0.1,6.6,2.94,28.4,0.4,23.3,5.9,10.4,1.6,6.5,9.7
06097,187782,3.7,0.1,9.2,2.65,24.8,0.3,29.4,6.7,7.8,1.2,5.5,9.3
06099,169196,4.7,0,5.7,3.12,24.2,0.2,27.5,12.5,6.3,0.8,5.6,11.7
06101,31917,5,0,6.1,3.03,25.5,0.1,31.1,11.5,9.6,0.7,6,11.2
06103,23704,4.7,0,8.3,2.85,23.2,0.3,36.7,7.1,10.8,1.5,3.7,18.8
06105,5484,5.7,0,7.4,2.43,30.3,0.2,51,2.5,15,2,3.3,20.3
06107,133570,3.7,0.1,5.7,3.5,22.9,0.2,28.9,20.8,5.2,1.1,3.8,10.6
06109,22133,7.7,0,6.8,2.22,27.1,0.4,42.6,2.1,11.8,1.1,8.3,17
06111,268969,3.3,0.1,3.4,3.18,29.1,0.2,23.8,9.9,7.1,1.3,5.9,7.7
06113,71997,2.3,0.1,5.2,2.76,21.9,0.6,28.4,7.7,5.6,1.4,12.7,7.7
06115,25139,7.7,0.2,5.4,2.93,24.3,0.2,29,8.1,12.8,2.9,6,18
08001,156628,4.9,0.3,1.9,2.98,26.3,0.1,22.6,7.8,8.2,2.1,7.5,9.3
08003,5932,6.8,0,12.9,2.36,22.6,1.1,41.9,7.1,8.6,3.6,4,16
08005,229601,4.3,0.1,1.7,2.52,20.5,0.1,22.3,3.6,9.2,3.5,11.7,7.8
08007,5334,16.4,0,3.6,2.51,25,0.5,41.5,3.4,13.2,6.4,13.1,12
08009,1568,10.6,0,20.5,2.11,30.7,0,59.2,4.2,12.2,2.4,4.2,18
08011,1635,7.5,0,33.3,2.4,32.5,0,62,10.4,12.5,0.9,1.5,29.9
08013,122516,3.4,0.2,7.3,2.32,21.1,0.4,27.7,2.7,6,5.1,13.5,6.8
08014,23531,4.7,1.3,0.9,2.28,23.5,0.1,20.6,2.1,8.2,5,10.5,6.2
08015,7756,6.8,0,13.4,2.36,26.3,0.7,43,3.1,12.9,2.5,4.4,10.2
08017,743,6.1,0,26.9,2.63,34.1,0,56.9,5,8.9,1.9,5.6,15.1
08019,4231,4.9,0,20.6,2.16,29.1,1.2,28.1,0.4,11.3,2.8,35.3,7.6
08021,2948,5,0,21.1,2.7,37.1,0.1,50.3,8.1,8.8,0.7,3.4,18.9
08023,1457,15.3,0,17.6,2.5,25.3,0.3,65.3,13.2,16.9,2.3,17.6,29.5
08025,1169,14.5,0,35.8,3.1,33.1,0,50.3,7.6,9.8,2.3,5.1,21.7
08027,1996,17.5,0.3,8.6,2.3,25.1,2,41.4,1.4,20.4,0.9,0,12.3
08029,12058,11.1,0,17.7,2.58,31.4,0.4,45.2,3.5,13.7,3,7.9,15
08031,275795,4.3,0.4,20.3,2.18,12.5,0.1,24.1,6.8,6.3,4.3,10.2,7.7
08033,706,10.6,0,7.2,4.08,39.9,0.6,65.8,3.2,9.2,3.1,0,15.5
08035,111113,4.6,0.4,0.8,2.34,27.6,0.1,15.6,0.7,8.7,3.9,13.4,4.8
08037,17840,9.5,0,2.3,3.12,27.1,0.4,23.2,6.1,4.7,3.3,8.7,4.6
08039,8417,7.1,0.3,6.5,2.74,49.6,0.7,17.8,1.2,13,3.9,5.7,8
08041,245287,4.4,0.2,5.6,2.5,22.8,0.1,24.4,2,18.4,6.8,10,10.8
08043,16342,6.1,0,15.9,2.3,25.6,0.3,44.2,4.6,14.3,3.3,0.9,15.7
08045,20622,7.9,0,9.3,2.77,26.9,0.1,25.8,5.8,7.1,4.2,3.5,8.9
08047,2576,3.5,0,15.8,2.28,25.7,0,29.2,0.6,12.6,5.7,0,9
08049,5250,24.2,0,8.4,3.23,24,0.3,27.6,1.4,11.2,6.6,5.7,4.4
08051,6287,15.1,0,10.4,2.37,25.4,0.6,34.7,2,6.5,5.3,3,5.7
08053,397,21.4,0,10.3,2.41,36,1,50.3,0.6,15.8,3.4,0,16.1
08055,3024,4.4,0,30.3,1.91,28.3,1,46.9,4.9,15.3,4.1,0,18
08057,616,7.5,0,23.5,2.37,35.6,0,61.7,4.7,12.6,0.2,0,4.9
08059,222892,3.1,0.1,3,2.27,25.5,0.1,25.4,1.8,9.3,2.9,8.7,7.4
08061,583,25.8,0,23,2.9,38.3,0,56.8,2.3,6.5,2.1,0,12.2
08063,3003,9.4,0,18.4,2.35,31.5,0,59.6,8.7,9.2,2.6,3.6,13.3
08065,3025,4.8,0,29.5,2.26,29.2,0.6,47.8,1.5,9.5,6.7,4.3,8.4
08067,21513,10.2,0.1,6.9,2.27,27.3,0.8,35,2.1,8.9,6.9,9.7,6.6
08069,125138,3,0.1,6.5,2.32,26.1,0.2,28.8,1.6,8.8,4.4,14.5,7.4
