geoid,rate
28153,7630
28155,4044
28157,3209
28159,7664
28161,5101
28163,8602
29001,9635
29003,6808
29005,2501
29007,9273
29009,13246
29011,4988
29013,6690
29015,8149
29017,4753
29019,66980
29021,33176
29023,16730
29025,3715
29027,16150
29029,16748
29031,29795
29033,3624
29035,2453
29037,37945
29039,5904
29041,2947
29043,29889
29045,2833
29047,87676
29049,8076
29051,29448
29053,6488
29055,9309
29057,3195
29059,6252
29061,3047
29063,3756
29065,5920
29067,5277
29069,12623
29071,39915
29073,6246
29075,2748
29077,117732
29079,4057
29081,3574
29083,9518
29085,4105
29087,2130
29089,3729
29091,16263
29093,4046
29095,274485
29097,45519
29099,81990
29101,19971
29103,1689
29105,13545
29107,13188
29109,14483
29111,3846
29113,18498
29115,4828
29117,5708
29119,8318
29121,6243
29123,4650
29125,3686
29127,11213
29129,1503
29131,9452
29133,5185
29135,5533
29137,3513
29139,4874
29141,7812
29143,7247
29145,22096
29147,8659
29149,4367
29151,5143
29153,4233
29155,6975
29157,7395
29159,16131
29161,16672
29163,6567
29165,37556
29167,11752
29169,15435
29171,2196
29173,4021
29175,8450
29177,8646
29179,2661
29181,5423
29183,138958
29185,4015
29186,7137
29187,24936
29189,401839
29195,8844
29197,1722
29199,1851
29201,15247
29203,3277
29205,2499
29207,12045
29209,12836
29211,2512
29213,21300
29215,9134
29217,8040
29219,11951
29221,8982
29223,5453
29225,12885
29227,900
29229,7351
29510,139555
30001,4080
30003,3576
30005,2238
30007,2427
30009,4480
30011,504
30013,33784
30015,2288
30017,4827
30019,866
30021,3974
30023,3851
30025,1221
30027,4879
30029,37106
30031,38292
30033,437
30035,4222
30037,320
30039,1421
30041,6092
30043,4473
30045,913
30047,11978
30049,26753
30051,864
30053,8645
30055,737
30057,3369
30059,757
30061,1563
30063,46624
30065,1951
30067,6793
30069,192
30071,1808
30073,2296
30075,756
30077,2380
30079,547
30081,16649
30083,4421
30085,3063
30087,3295
30089,5038
30091,1639
30093,15144
30095,3742
30097,1410
30099,2314
30101,1972
30103,353
30105,3295
30107,885
30109,448
30111,61442
31001,12670
31003,2821
31005,180
31007,339
31009,231
31011,2227
31013,4805
31015,935
31017,1511
31019,18352
31021,2801
31023,3577
31025,9756
31027,3575
31029,1701
31031,2639
31033,4393
31035,2617
31037,3634
31039,3699
31041,4745
31043,7290
31045,3611
31047,8755
31049,822
31051,2305
31053,15110
31055,208541
31057,900
31059,2464
31061,1409
31063,1084
31065,2276
31067,9240
31069,845
31071,903
31073,789
31075,299
31077,995
31079,22433
31081,3649
31083,1555
31085,482
31087,1342
31089,4520
31091,312
31093,2560
31095,3359
31097,1886
31099,2767
31101,3905
31103,343
31105,1574
31107,3716
31109,117667
31111,15010
31113,365
31115,258
31117,197
31119,14007
31121,3325
31123,1981
31125,1548
31127,2877
31129,2068
31131,6447
31133,1261
31135,1243
31137,3728
31139,2940
31141,12707
31143,2179
31145,4651
31147,3761
31149,690
31151,5104
31153,61983
31155,8055
31157,14755
31159,6348
31161,2259
31163,1377
31165,549
31167,2323
31169,2341
31171,300
31173,2084
31175,1897
31177,8034
31179,3500
31181,1552
31183,389
31185,5604
32001,9475
32003,724446
32005,19779
32007,17696
32009,483
32011,767
32013,6149
32015,2114
32017,1883
32019,19524
32021,1990
32023,17427
32027,2083
32029,1767
32031,166345
32033,3187
32510,21594
33001,24597
33003,21206
33005,30638
33007,14198
33009,35035
33011,155208
33013,56705
33015,118095
33017,47149
33019,17420
34001,101818
34003,335550
34005,164659
34007,186101
34009,40412
34011,50368
34013,278085
34015,104268
34017,249584
34019,46899
34021,130546
34023,282058
34025,233105
34027,180093
34029,222494
34031,161318
34033,24347
34035,115998
34037,53941
34039,186175
34041,41667
35001,263270
35003,1387
35005,23422
35006,8533
35007,5546
35009,18162
35011,520
35013,74762
35015,20638
35017,12032
35019,1192
35021,189
35023,1828
35025,21449
35027,8479
35028,7615
35029,9044
35031,18449
35033,1654
35035,23668
35037,3347
35039,13730
35041,7139
35043,47931
35045,40643
35047,10788
35049,61179
35051,5044
35053,4947
35055,13224
35057,5370
35059,1559
35061,26863
36001,123451
36003,18285
36005,484902
36007,79132
36009,31635
36011,30972
36013,53546
36015,35167
36017,19641
36019,31898
36021,25235
36023,17935
36025,19262
36027,106771
36029,382846
36031,15268
36033,19148
36035,22281
36037,23938
36039,17634
36041,1376
36043,26130
36045,44306
36047,931786
36049,10539
36051,24226
36053,26288
36055,299764
36057,19539
36059,440640
36061,750419
36063,87807
36065,90844
36067,184641
36069,44252
36071,125270
36073,16016
36075,45300
36077,23636
36079,34090
36081,780644
36083,63447
36085,165784
36087,98806
36089,41449
36091,89921
36093,56760
36095,12409
36097,7686
36099,13561
36101,41058
36103,493849
36105,28404
36107,19872
36109,38460
36111,69474
36113,26788
36115,24237
36117,36476
36119,341866
36121,15787
36123,9725
37001,61545
37003,13581
37005,4770
37007,9511
37009,11786
37011,6801
37013,18516
37015,7408
37017,14401
37019,49193
37021,101860
37023,34180
37025,67161
37027,31566
37029,3795
37031,29565
37033,8676
37035,58641
37037,26923
37039,10592
37041,5967
37043,4540
37045,37453
37047,22006
37049,40131
37051,122643
37053,9300
37055,14969
37057,64299
37059,15813
37061,21946
37063,115975
37065,21026
37067,143207
37069,23506
37071,79166
37073,4402
37075,3267
37077,20223
37079,7222
37081,199540
37083,21468
37085,42672
37087,26111
37089,46079
37091,8651
37093,16990
37095,2050
37097,60893
37099,15956
37101,61950
37103,4136
37105,21206
37107,23335
37109,30088
37111,17323
37113,15536
37115,8450
37117,9269
37119,379786
37121,6344
37123,10588
37125,37143
37127,36711
37129,88403
37131,8630
37133,62185
37135,51880
37137,5237
37139,14448
37141,20130
37143,5500
37145,15383
37147,67502
37149,8701
37151,54507
37153,18461
37155,45773
37157,37583
37159,51612
37161,26426
37163,23280
37165,12996
37167,23667
37169,18968
37171,29267
37173,5379
37175,13667
37177,1451
37179,70711
37181,16589
37183,364669
37185,7817
37187,5216
37189,19996
37191,47530
37193,27422
37195,32003
37197,15369
37199,7416
38001,1067
38003,5056
38005,2280
38007,407
38009,3035
38011,1377
38013,980
38015,37061
38017,68776
38019,1746
38021,2132
38023,1081
38025,1557
38027,1060
38029,1599
38031,1484
38033,803
38035,28521
38037,1136
38039,1035
38041,1091
38043,1084
38045,1840
38047,878
38049,2608
38051,1289
38053,3214
38055,4234
38057,3673
38059,12308
38061,3206
38063,1522
38065,792
38067,3285
38069,2018
38071,5016
38073,2352
38075,1020
38077,6621
38079,4774
38081,1728
38083,653
38085,1098
38087,322
38089,11379
38091,948
38093,9061
38095,1003
38097,3278
38099,4929
38101,26131
38103,2008
38105,12082
39001,10858
39003,39986
39005,20427
39007,38890
39009,22486
39011,18193
39013,27935
39015,16672
39017,134720
39019,10972
39021,15237
39023,54809
39025,74812
39027,16073
39029,42087
39031,14335
39033,17798
39035,534719
39037,20865
39039,15279
39041,65648
39043,31767
39045,55032
39047,11589
39049,480946
39051,16229
39053,11590
39055,34774
39057,64182
39059,15558
39061,331638
39063,31083
39065,11540
39067,6271
39069,10958
39071,16696
39073,11387
39075,12685
39077,22527
39079,12981
39081,27958
39083,22759
39085,94815
39087,23548
39089,64230
39091,18640
39093,117298
39095,177619
39097,14906
39099,97790
39101,24478
39103,66002
39105,9322
39107,15919
39109,41135
39111,6056
39113,222687
39115,6120
39117,12700
39119,34261
39121,4886
39123,17334
39125,7699
39127,13780
39129,19460
39131,10940
39133,61055
39135,16124
39137,13049
39139,48103
39141,28269
39143,23626
39145,29700
39147,21538
39149,18537
39151,150385
39153,220902
39155,86828
39157,36713
39159,18431
39161,11355
39163,4992
39165,78359
39167,25064
39169,42910
39171,15150
39173,50091
39175,9327
40001,7968
40003,2072
40005,5258
40007,2017
40009,7535
40011,3580
40013,16632
40015,10202
40017,43063
40019,17867
40021,16324
40023,5924
40025,1017
40027,99276
40029,2288
40031,43240
40033,2429
40035,5418
40037,26204
40039,10364
40041,16561
40043,1851
40045,1710
40047,23937
40049,10531
40051,19589
40053,1968
40055,2186
40057,1174
40059,1444
40061,4903
40063,4454
40065,10220
40067,2471
40069,4164
40071,18115
40073,5741
40075,3939
40077,4135
40079,18164
40081,13231
40083,15091
40085,3202
40087,13244
40089,12908
40091,8373
40093,3051
40095,5965
40097,15740
40099,5343
40101,26349
40103,4670
40105,4046
40107,4048
40109,291390
40111,15022
40113,18271
40115,12061
40117,6278
40119,30164
40121,18087
40123,14591
40125,25996
40127,4749
40129,1340
40131,33358
40133,9202
40135,15552
40137,17868
40139,7173
40141,3057
40143,246080
40145,27452
40147,21001
40149,4640
40151,3426
40153,7367
41001,7160
41003,33840
41005,149522
41007,15726
41009,18785
41011,25888
41013,9079
41015,10454
41017,66337
41019,43798
41021,833
41023,3149
41025,3038
41027,8189
41029,83487
41031,7692
41033,34527
41035,27188
41037,3526
41039,146235
41041,20566
41043,45100
41045,10286
41047,113996
41049,3772
41051,310669
41053,28458
41055,804
41057,10094
41059,26794
41061,10130
41063,3082
41065,9704
41067,206426
41069,671
41071,34425
42001,38193
42003,529534
42005,28524
42007,70079
42009,20000
42011,153312
42013,51034
42015,24358
42017,233066
42019,74476
42021,57465
42023,2170
42025,25751
42027,57183
42029,186057
42031,15830
42033,31817
42035,14796
42037,26178
42039,34575
42041,95950
42043,109623
42045,203817
42047,13244
42049,109934
42051,53997
42053,1974
42055,58570
42057,5960
42059,14394
42061,17225
42063,34061
42065,18479
42067,9393
42069,85034
42071,195330
42073,36435
42075,52267
42077,133960
42079,128692
42081,45906
42083,17400
42085,45546
42087,18714
42089,57297
42091,308626
42093,7380
42095,112927
42097,39375
42099,18085
42101,581050
42103,21079
42105,6669
42107,58554
42109,14442
42111,29619
42113,2669
42115,17487
42117,16611
42119,14916
42121,22129
42123,17113
42125,83739
42127,19306
42129,151173
42131,10894
42133,167416
44001,19290
44003,68616
44005,34848
44007,238284
44009,49564
45001,9573
45003,63706
45005,3346
45007,74023
45009,5921
45011,8344
45013,65975
45015,69030
45017,6028
45019,148018
45021,20523
45023,12385
45025,18022
45027,13161
45029,14774
45031,26417
45033,11514
45035,51856
45037,9096
45039,8990
45041,51847
45043,23566
45045,179862
45047,26709
45049,7530
